setup_note,task,feature_set,model,metric,honest,leaky,inflation_leaky_minus_honest
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,DecisionTree,pr_auc,0.1830077056392064,1.0,0.8169922943607936
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,DecisionTree,f1,0.1359883438562409,1.0,0.8640116561437591
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,DecisionTree,recall,0.658307210031348,1.0,0.34169278996865204
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,DecisionTree,precision,0.0758259613648673,1.0,0.9241740386351327
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,RandomForest,roc_auc,0.7955134250919558,1.0,0.20448657490804423
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,RandomForest,pr_auc,0.20286091038217538,1.0,0.7971390896178246
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,RandomForest,f1,0.14434628975265018,1.0,0.8556537102473498
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,RandomForest,recall,0.640282131661442,1.0,0.359717868338558
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,RandomForest,precision,0.081342094782955,1.0,0.918657905217045
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,LinearRegression,R2,-0.14269300797036055,-0.041321195294567126,0.10137181267579343
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,LinearRegression,RMSE,196.62373916208466,187.6996746638957,-8.924064498188955
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,LinearRegression,MAE,23.634512679026003,21.18730308393172,-2.4472095950942823
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,DecisionTree,R2,0.09606182836513011,0.43693701506022564,0.34087518669509553
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,DecisionTree,RMSE,174.88015473730238,138.02242544206177,-36.8577292952406
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,DecisionTree,MAE,21.74154132007967,6.722754489961753,-15.018786830117916
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,RandomForest,R2,0.15414153210365877,0.5367632709563852,0.38262173885272643
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,RandomForest,RMSE,169.16870176539115,125.19087040898015,-43.977831356411
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,c_rfm_behav_cluster,RandomForest,MAE,21.405706926740603,6.278597569246822,-15.127109357493781
